STATISTIC Label,Year,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1196.82
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1194.53
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1135.76
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1200.92
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1304.91
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1211.98
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1267.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Dublin,Euro,1176.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,846.33
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,921.9
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,705.26
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,606.63
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,807.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,860.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,973.33
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,978.87
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,784.15
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,616.46
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,839.62
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,769.75
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,951.31
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,867.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,619.6
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,719.09
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1023.34
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,821.08
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,669.75
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,634.34
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,897.46
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,723.39
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,939.08
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,921.39
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,649.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,943.79
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1141.87
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,670.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,648.91
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,731.99
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,731.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,793.36
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,661.74
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,603.95
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,671.41
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1015.52
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,857.44
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,727.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,766.25
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1125.97
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,993.77
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,993.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,917.57
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1086.18
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1152.76
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1155.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,780.26
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1063.29
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,970.23
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,781.81
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1013.66
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,774.74
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,793.67
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,831.31
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,791.01
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,874.76
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,731.35
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,713.69
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,649.95
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,664.1
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,676.01
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,720.06
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,540.36
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,560.35
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,501.02
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,792.97
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,818.87
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,542.6
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,923.45
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,1034.99
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,951.89
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,798.83
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,667.14
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,837.47
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,616.58
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,592.35
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,680.37
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,826.42
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,564.52
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,543.03
RTB Average Monthly Rent Report,2008,All bedrooms,All Property Types,Rest of Country,Euro,557.95
